Sender;Recipient;EventDate;month;year
118;37;2010-01-04 07:25:58;1;2010
91;77;2010-01-04 07:26:02;1;2010
143;152;2010-01-04 07:26:11;1;2010
116;60;2010-01-04 07:26:26;1;2010
77;91;2010-01-04 07:26:48;1;2010
116;47;2010-01-04 07:27:17;1;2010
73;136;2010-01-04 07:27:34;1;2010
147;94;2010-01-04 07:34:37;1;2010
118;37;2010-01-04 07:36:40;1;2010
133;136;2010-01-04 07:37:46;1;2010
39;136;2010-01-04 07:39:03;1;2010
127;65;2010-01-04 07:40:20;1;2010
127;94;2010-01-04 07:40:49;1;2010
137;47;2010-01-04 07:42:12;1;2010
137;126;2010-01-04 07:42:12;1;2010
137;27;2010-01-04 07:42:12;1;2010
133;136;2010-01-04 07:42:34;1;2010
133;73;2010-01-04 07:42:34;1;2010
133;62;2010-01-04 07:42:34;1;2010
80;166;2010-01-04 07:43:10;1;2010
80;94;2010-01-04 07:45:56;1;2010
64;60;2010-01-04 07:48:46;1;2010
136;69;2010-01-04 07:48:57;1;2010
136;86;2010-01-04 07:48:57;1;2010
136;19;2010-01-04 07:48:57;1;2010
136;73;2010-01-04 07:48:57;1;2010
136;36;2010-01-04 07:48:57;1;2010
136;85;2010-01-04 07:48:57;1;2010
136;161;2010-01-04 07:48:57;1;2010
55;60;2010-01-04 07:50:10;1;2010
162;77;2010-01-04 07:52:57;1;2010
105;97;2010-01-04 07:53:51;1;2010
129;18;2010-01-04 07:53:56;1;2010
129;163;2010-01-04 07:53:56;1;2010
129;110;2010-01-04 07:53:56;1;2010
129;14;2010-01-04 07:53:56;1;2010
129;158;2010-01-04 07:53:56;1;2010
135;158;2010-01-04 07:54:00;1;2010
105;60;2010-01-04 07:54:02;1;2010
77;162;2010-01-04 07:54:27;1;2010
62;133;2010-01-04 07:56:41;1;2010
62;136;2010-01-04 07:56:41;1;2010
123;136;2010-01-04 07:56:42;1;2010
69;152;2010-01-04 07:56:52;1;2010
90;152;2010-01-04 07:58:16;1;2010
97;105;2010-01-04 08:01:25;1;2010
97;17;2010-01-04 08:03:03;1;2010
166;54;2010-01-04 08:04:02;1;2010
133;90;2010-01-04 08:04:07;1;2010
133;141;2010-01-04 08:04:07;1;2010
54;166;2010-01-04 08:05:00;1;2010
54;166;2010-01-04 08:05:19;1;2010
137;90;2010-01-04 08:06:30;1;2010
137;136;2010-01-04 08:06:30;1;2010
137;112;2010-01-04 08:06:30;1;2010
137;19;2010-01-04 08:06:30;1;2010
137;65;2010-01-04 08:06:30;1;2010
137;73;2010-01-04 08:06:30;1;2010
158;129;2010-01-04 08:06:45;1;2010
69;136;2010-01-04 08:07:27;1;2010
137;136;2010-01-04 08:07:41;1;2010
137;90;2010-01-04 08:07:41;1;2010
137;112;2010-01-04 08:07:41;1;2010
137;19;2010-01-04 08:07:41;1;2010
137;65;2010-01-04 08:07:41;1;2010
137;73;2010-01-04 08:07:41;1;2010
90;137;2010-01-04 08:07:45;1;2010
137;136;2010-01-04 08:08:03;1;2010
137;90;2010-01-04 08:08:03;1;2010
137;112;2010-01-04 08:08:03;1;2010
137;19;2010-01-04 08:08:03;1;2010
137;65;2010-01-04 08:08:03;1;2010
137;73;2010-01-04 08:08:03;1;2010
90;137;2010-01-04 08:08:11;1;2010
19;137;2010-01-04 08:08:37;1;2010
19;137;2010-01-04 08:08:39;1;2010
137;136;2010-01-04 08:08:53;1;2010
137;90;2010-01-04 08:08:53;1;2010
137;112;2010-01-04 08:08:53;1;2010
137;19;2010-01-04 08:08:53;1;2010
137;65;2010-01-04 08:08:53;1;2010
137;73;2010-01-04 08:08:53;1;2010
136;137;2010-01-04 08:09:36;1;2010
136;137;2010-01-04 08:09:37;1;2010
73;137;2010-01-04 08:09:37;1;2010
73;137;2010-01-04 08:09:38;1;2010
137;136;2010-01-04 08:09:41;1;2010
137;112;2010-01-04 08:09:41;1;2010
137;19;2010-01-04 08:09:41;1;2010
137;65;2010-01-04 08:09:41;1;2010
137;73;2010-01-04 08:09:41;1;2010
137;90;2010-01-04 08:09:41;1;2010
90;137;2010-01-04 08:09:49;1;2010
19;137;2010-01-04 08:10:06;1;2010
73;137;2010-01-04 08:10:38;1;2010
136;137;2010-01-04 08:11:04;1;2010
73;137;2010-01-04 08:11:38;1;2010
136;137;2010-01-04 08:12:25;1;2010
62;146;2010-01-04 08:12:30;1;2010
90;127;2010-01-04 08:15:19;1;2010
90;41;2010-01-04 08:15:19;1;2010
30;135;2010-01-04 08:16:03;1;2010
17;108;2010-01-04 08:16:31;1;2010
90;137;2010-01-04 08:17:01;1;2010
128;81;2010-01-04 08:20:04;1;2010
136;137;2010-01-04 08:20:54;1;2010
127;90;2010-01-04 08:21:14;1;2010
32;97;2010-01-04 08:21:31;1;2010
32;17;2010-01-04 08:21:31;1;2010
32;97;2010-01-04 08:22:04;1;2010
32;17;2010-01-04 08:22:04;1;2010
14;129;2010-01-04 08:22:12;1;2010
86;136;2010-01-04 08:24:25;1;2010
153;152;2010-01-04 08:25:36;1;2010
167;94;2010-01-04 08:29:03;1;2010
152;153;2010-01-04 08:30:03;1;2010
113;82;2010-01-04 08:31:05;1;2010
113;82;2010-01-04 08:31:09;1;2010
36;102;2010-01-04 08:31:15;1;2010
113;82;2010-01-04 08:31:29;1;2010
113;82;2010-01-04 08:31:32;1;2010
113;121;2010-01-04 08:31:37;1;2010
135;90;2010-01-04 08:32:00;1;2010
90;135;2010-01-04 08:32:58;1;2010
65;137;2010-01-04 08:33:50;1;2010
65;137;2010-01-04 08:33:52;1;2010
65;137;2010-01-04 08:33:54;1;2010
136;3;2010-01-04 08:34:47;1;2010
136;166;2010-01-04 08:34:47;1;2010
136;152;2010-01-04 08:34:47;1;2010
166;132;2010-01-04 08:36:01;1;2010
112;137;2010-01-04 08:38:25;1;2010
112;137;2010-01-04 08:38:27;1;2010
112;137;2010-01-04 08:38:29;1;2010
36;152;2010-01-04 08:39:03;1;2010
132;166;2010-01-04 08:39:25;1;2010
84;136;2010-01-04 08:39:32;1;2010
152;136;2010-01-04 08:41:49;1;2010
73;136;2010-01-04 08:41:55;1;2010
121;130;2010-01-04 08:42:01;1;2010
73;137;2010-01-04 08:42:04;1;2010
130;121;2010-01-04 08:42:53;1;2010
166;36;2010-01-04 08:44:21;1;2010
19;136;2010-01-04 08:44:53;1;2010
36;166;2010-01-04 08:45:30;1;2010
19;137;2010-01-04 08:46:59;1;2010
58;60;2010-01-04 08:47:19;1;2010
117;57;2010-01-04 08:49:21;1;2010
33;162;2010-01-04 08:50:17;1;2010
161;136;2010-01-04 08:50:34;1;2010
33;77;2010-01-04 08:50:45;1;2010
133;136;2010-01-04 08:50:50;1;2010
133;19;2010-01-04 08:50:50;1;2010
133;73;2010-01-04 08:50:50;1;2010
133;141;2010-01-04 08:50:50;1;2010
133;62;2010-01-04 08:50:50;1;2010
161;83;2010-01-04 08:53:39;1;2010
161;90;2010-01-04 08:53:39;1;2010
161;35;2010-01-04 08:53:39;1;2010
110;129;2010-01-04 08:54:32;1;2010
19;133;2010-01-04 08:54:38;1;2010
11;153;2010-01-04 08:55:25;1;2010
35;161;2010-01-04 08:56:12;1;2010
83;161;2010-01-04 09:00:06;1;2010
36;14;2010-01-04 09:01:23;1;2010
73;133;2010-01-04 09:03:40;1;2010
36;102;2010-01-04 09:07:00;1;2010
36;136;2010-01-04 09:07:24;1;2010
17;110;2010-01-04 09:10:31;1;2010
36;14;2010-01-04 09:11:34;1;2010
110;17;2010-01-04 09:11:50;1;2010
158;119;2010-01-04 09:14:27;1;2010
110;17;2010-01-04 09:14:36;1;2010
8;155;2010-01-04 09:15:31;1;2010
8;47;2010-01-04 09:16:06;1;2010
107;136;2010-01-04 09:16:23;1;2010
85;103;2010-01-04 09:17:07;1;2010
103;85;2010-01-04 09:17:07;1;2010
8;47;2010-01-04 09:17:31;1;2010
65;137;2010-01-04 09:17:37;1;2010
36;155;2010-01-04 09:19:20;1;2010
8;47;2010-01-04 09:21:50;1;2010
65;90;2010-01-04 09:23:28;1;2010
65;127;2010-01-04 09:23:28;1;2010
65;90;2010-01-04 09:29:42;1;2010
127;65;2010-01-04 09:30:15;1;2010
41;90;2010-01-04 09:31:34;1;2010
47;137;2010-01-04 09:33:27;1;2010
150;60;2010-01-04 09:38:48;1;2010
77;137;2010-01-04 09:43:06;1;2010
77;123;2010-01-04 09:43:06;1;2010
77;136;2010-01-04 09:43:06;1;2010
77;19;2010-01-04 09:43:06;1;2010
17;110;2010-01-04 09:46:53;1;2010
128;8;2010-01-04 09:52:35;1;2010
123;77;2010-01-04 09:54:04;1;2010
14;17;2010-01-04 09:55:38;1;2010
17;14;2010-01-04 09:56:14;1;2010
27;86;2010-01-04 10:00:24;1;2010
128;166;2010-01-04 10:02:09;1;2010
103;95;2010-01-04 10:07:48;1;2010
136;77;2010-01-04 10:09:17;1;2010
62;133;2010-01-04 10:10:50;1;2010
166;128;2010-01-04 10:12:20;1;2010
128;166;2010-01-04 10:14:33;1;2010
85;103;2010-01-04 10:14:44;1;2010
136;133;2010-01-04 10:25:38;1;2010
108;17;2010-01-04 10:31:29;1;2010
110;129;2010-01-04 10:33:57;1;2010
129;110;2010-01-04 10:36:48;1;2010
33;45;2010-01-04 10:37:07;1;2010
153;152;2010-01-04 10:41:48;1;2010
128;81;2010-01-04 10:44:06;1;2010
35;83;2010-01-04 10:47:39;1;2010
60;103;2010-01-04 10:48:15;1;2010
19;77;2010-01-04 10:48:21;1;2010
135;151;2010-01-04 10:48:25;1;2010
135;97;2010-01-04 10:48:25;1;2010
103;60;2010-01-04 10:49:00;1;2010
47;65;2010-01-04 10:53:50;1;2010
153;152;2010-01-04 10:55:14;1;2010
153;11;2010-01-04 10:55:54;1;2010
60;83;2010-01-04 10:56:12;1;2010
60;8;2010-01-04 10:56:12;1;2010
60;13;2010-01-04 10:56:12;1;2010
60;128;2010-01-04 10:56:12;1;2010
60;67;2010-01-04 10:56:12;1;2010
60;36;2010-01-04 10:56:12;1;2010
60;103;2010-01-04 10:56:12;1;2010
60;156;2010-01-04 10:56:12;1;2010
60;132;2010-01-04 10:56:12;1;2010
60;155;2010-01-04 10:56:12;1;2010
60;85;2010-01-04 10:56:12;1;2010
60;102;2010-01-04 10:56:12;1;2010
128;81;2010-01-04 10:56:14;1;2010
8;60;2010-01-04 10:56:23;1;2010
103;60;2010-01-04 10:56:31;1;2010
67;60;2010-01-04 10:56:40;1;2010
102;60;2010-01-04 10:57:22;1;2010
86;27;2010-01-04 10:57:31;1;2010
41;150;2010-01-04 10:59:15;1;2010
41;162;2010-01-04 10:59:15;1;2010
132;60;2010-01-04 10:59:28;1;2010
128;81;2010-01-04 11:01:46;1;2010
36;60;2010-01-04 11:02:38;1;2010
128;60;2010-01-04 11:02:39;1;2010
153;11;2010-01-04 11:03:42;1;2010
60;83;2010-01-04 11:03:45;1;2010
60;85;2010-01-04 11:03:45;1;2010
60;13;2010-01-04 11:03:45;1;2010
60;128;2010-01-04 11:03:45;1;2010
60;103;2010-01-04 11:03:45;1;2010
60;156;2010-01-04 11:03:45;1;2010
60;8;2010-01-04 11:03:45;1;2010
60;67;2010-01-04 11:03:45;1;2010
128;60;2010-01-04 11:04:05;1;2010
150;41;2010-01-04 11:04:07;1;2010
103;60;2010-01-04 11:04:41;1;2010
67;60;2010-01-04 11:05:08;1;2010
8;60;2010-01-04 11:05:10;1;2010
11;153;2010-01-04 11:07:16;1;2010
153;11;2010-01-04 11:07:22;1;2010
45;126;2010-01-04 11:09:34;1;2010
163;129;2010-01-04 11:16:03;1;2010
163;90;2010-01-04 11:18:01;1;2010
163;129;2010-01-04 11:18:01;1;2010
163;18;2010-01-04 11:18:01;1;2010
153;33;2010-01-04 11:18:05;1;2010
153;90;2010-01-04 11:18:05;1;2010
153;143;2010-01-04 11:18:05;1;2010
153;130;2010-01-04 11:18:05;1;2010
153;69;2010-01-04 11:18:05;1;2010
153;77;2010-01-04 11:18:05;1;2010
153;136;2010-01-04 11:18:05;1;2010
152;153;2010-01-04 11:20:49;1;2010
152;85;2010-01-04 11:22:34;1;2010
118;85;2010-01-04 11:23:26;1;2010
17;37;2010-01-04 11:24:20;1;2010
37;17;2010-01-04 11:24:24;1;2010
73;137;2010-01-04 11:27:02;1;2010
73;136;2010-01-04 11:27:02;1;2010
73;112;2010-01-04 11:27:02;1;2010
152;121;2010-01-04 11:27:27;1;2010
121;152;2010-01-04 11:29:06;1;2010
130;91;2010-01-04 11:34:56;1;2010
126;78;2010-01-04 11:35:00;1;2010
130;91;2010-01-04 11:35:42;1;2010
137;130;2010-01-04 11:35:47;1;2010
137;112;2010-01-04 11:35:47;1;2010
137;152;2010-01-04 11:35:47;1;2010
137;118;2010-01-04 11:35:47;1;2010
137;143;2010-01-04 11:35:47;1;2010
137;85;2010-01-04 11:35:47;1;2010
137;163;2010-01-04 11:35:47;1;2010
137;148;2010-01-04 11:35:47;1;2010
137;27;2010-01-04 11:35:47;1;2010
137;90;2010-01-04 11:35:47;1;2010
137;33;2010-01-04 11:35:47;1;2010
137;136;2010-01-04 11:35:47;1;2010
137;36;2010-01-04 11:35:47;1;2010
137;104;2010-01-04 11:35:47;1;2010
137;121;2010-01-04 11:35:47;1;2010
137;113;2010-01-04 11:35:47;1;2010
118;137;2010-01-04 11:37:20;1;2010
81;103;2010-01-04 11:37:46;1;2010
103;81;2010-01-04 11:37:59;1;2010
65;90;2010-01-04 11:39:23;1;2010
153;152;2010-01-04 11:41:22;1;2010
121;137;2010-01-04 11:42:08;1;2010
17;14;2010-01-04 11:42:09;1;2010
45;82;2010-01-04 11:42:21;1;2010
136;73;2010-01-04 11:43:05;1;2010
136;137;2010-01-04 11:43:14;1;2010
121;137;2010-01-04 11:44:43;1;2010
148;137;2010-01-04 11:47:18;1;2010
85;8;2010-01-04 11:49:09;1;2010
162;41;2010-01-04 11:53:32;1;2010
36;137;2010-01-04 11:53:38;1;2010
113;137;2010-01-04 11:54:02;1;2010
90;65;2010-01-04 11:54:24;1;2010
117;126;2010-01-04 11:55:47;1;2010
39;136;2010-01-04 11:57:27;1;2010
39;136;2010-01-04 11:57:50;1;2010
85;128;2010-01-04 11:59:14;1;2010
128;166;2010-01-04 12:01:12;1;2010
54;166;2010-01-04 12:03:19;1;2010
166;128;2010-01-04 12:03:42;1;2010
105;97;2010-01-04 12:04:48;1;2010
128;166;2010-01-04 12:05:12;1;2010
117;47;2010-01-04 12:05:27;1;2010
14;17;2010-01-04 12:07:04;1;2010
97;105;2010-01-04 12:07:32;1;2010
81;69;2010-01-04 12:08:12;1;2010
81;39;2010-01-04 12:08:12;1;2010
81;97;2010-01-04 12:08:12;1;2010
81;156;2010-01-04 12:08:12;1;2010
81;17;2010-01-04 12:08:12;1;2010
81;130;2010-01-04 12:08:12;1;2010
81;86;2010-01-04 12:08:12;1;2010
81;148;2010-01-04 12:08:12;1;2010
81;161;2010-01-04 12:08:12;1;2010
81;104;2010-01-04 12:08:12;1;2010
14;148;2010-01-04 12:08:20;1;2010
14;160;2010-01-04 12:08:20;1;2010
14;11;2010-01-04 12:08:20;1;2010
14;80;2010-01-04 12:08:20;1;2010
14;163;2010-01-04 12:08:20;1;2010
97;81;2010-01-04 12:08:53;1;2010
17;81;2010-01-04 12:09:05;1;2010
80;14;2010-01-04 12:09:25;1;2010
128;81;2010-01-04 12:09:25;1;2010
128;56;2010-01-04 12:09:25;1;2010
133;17;2010-01-04 12:09:48;1;2010
17;133;2010-01-04 12:10:23;1;2010
11;14;2010-01-04 12:10:33;1;2010
17;133;2010-01-04 12:14:08;1;2010
161;17;2010-01-04 12:15:09;1;2010
62;102;2010-01-04 12:15:37;1;2010
17;161;2010-01-04 12:16:02;1;2010
110;163;2010-01-04 12:16:42;1;2010
57;52;2010-01-04 12:17:42;1;2010
148;14;2010-01-04 12:21:16;1;2010
136;155;2010-01-04 12:21:42;1;2010
148;161;2010-01-04 12:22:31;1;2010
148;81;2010-01-04 12:22:44;1;2010
155;136;2010-01-04 12:23:43;1;2010
90;65;2010-01-04 12:25:07;1;2010
13;60;2010-01-04 12:25:28;1;2010
90;65;2010-01-04 12:26:18;1;2010
13;60;2010-01-04 12:27:08;1;2010
90;137;2010-01-04 12:28:32;1;2010
90;161;2010-01-04 12:29:34;1;2010
39;81;2010-01-04 12:31:02;1;2010
102;62;2010-01-04 12:31:02;1;2010
102;62;2010-01-04 12:32:19;1;2010
152;137;2010-01-04 12:33:19;1;2010
85;8;2010-01-04 12:33:55;1;2010
163;110;2010-01-04 12:33:58;1;2010
163;137;2010-01-04 12:33:58;1;2010
163;14;2010-01-04 12:34:35;1;2010
148;69;2010-01-04 12:36:15;1;2010
148;86;2010-01-04 12:36:15;1;2010
133;17;2010-01-04 12:36:21;1;2010
133;17;2010-01-04 12:37:05;1;2010
62;102;2010-01-04 12:37:35;1;2010
17;133;2010-01-04 12:37:44;1;2010
65;129;2010-01-04 12:38:36;1;2010
85;98;2010-01-04 12:45:45;1;2010
127;74;2010-01-04 12:47:54;1;2010
155;60;2010-01-04 12:51:39;1;2010
133;80;2010-01-04 12:52:04;1;2010
62;80;2010-01-04 12:52:57;1;2010
80;133;2010-01-04 12:55:10;1;2010
47;117;2010-01-04 12:56:17;1;2010
41;90;2010-01-04 12:56:54;1;2010
90;41;2010-01-04 12:57:58;1;2010
47;57;2010-01-04 12:59:29;1;2010
13;90;2010-01-04 13:02:38;1;2010
13;127;2010-01-04 13:02:38;1;2010
13;74;2010-01-04 13:02:38;1;2010
13;41;2010-01-04 13:02:38;1;2010
166;54;2010-01-04 13:05:29;1;2010
80;133;2010-01-04 13:12:48;1;2010
90;135;2010-01-04 13:16:21;1;2010
135;90;2010-01-04 13:17:34;1;2010
133;80;2010-01-04 13:17:41;1;2010
33;45;2010-01-04 13:19:10;1;2010
33;137;2010-01-04 13:19:36;1;2010
13;127;2010-01-04 13:24:00;1;2010
13;74;2010-01-04 13:24:00;1;2010
13;41;2010-01-04 13:24:00;1;2010
13;90;2010-01-04 13:24:00;1;2010
135;30;2010-01-04 13:25:18;1;2010
54;166;2010-01-04 13:26:17;1;2010
135;30;2010-01-04 13:29:04;1;2010
86;148;2010-01-04 13:31:27;1;2010
86;148;2010-01-04 13:34:10;1;2010
86;69;2010-01-04 13:34:10;1;2010
86;81;2010-01-04 13:34:16;1;2010
133;80;2010-01-04 13:34:21;1;2010
65;90;2010-01-04 13:34:40;1;2010
65;108;2010-01-04 13:36:10;1;2010
65;64;2010-01-04 13:36:10;1;2010
65;57;2010-01-04 13:36:10;1;2010
65;47;2010-01-04 13:36:10;1;2010
65;56;2010-01-04 13:36:10;1;2010
119;126;2010-01-04 13:36:37;1;2010
119;126;2010-01-04 13:37:38;1;2010
80;133;2010-01-04 13:37:44;1;2010
119;126;2010-01-04 13:38:30;1;2010
119;158;2010-01-04 13:38:53;1;2010
135;30;2010-01-04 13:41:40;1;2010
135;138;2010-01-04 13:41:40;1;2010
55;54;2010-01-04 13:41:56;1;2010
112;137;2010-01-04 13:42:46;1;2010
126;57;2010-01-04 13:49:16;1;2010
90;65;2010-01-04 13:54:36;1;2010
103;81;2010-01-04 13:55:40;1;2010
103;141;2010-01-04 13:57:50;1;2010
47;27;2010-01-04 13:57:52;1;2010
47;126;2010-01-04 13:57:52;1;2010
47;57;2010-01-04 13:57:52;1;2010
47;82;2010-01-04 13:58:03;1;2010
126;47;2010-01-04 13:58:26;1;2010
45;137;2010-01-04 14:00:38;1;2010
57;72;2010-01-04 14:02:07;1;2010
54;55;2010-01-04 14:04:34;1;2010
126;137;2010-01-04 14:08:03;1;2010
126;45;2010-01-04 14:08:13;1;2010
83;35;2010-01-04 14:12:31;1;2010
126;89;2010-01-04 14:13:52;1;2010
126;117;2010-01-04 14:13:59;1;2010
126;119;2010-01-04 14:14:13;1;2010
126;119;2010-01-04 14:14:19;1;2010
126;119;2010-01-04 14:14:28;1;2010
65;47;2010-01-04 14:17:13;1;2010
69;81;2010-01-04 14:18:02;1;2010
69;148;2010-01-04 14:18:26;1;2010
72;57;2010-01-04 14:19:08;1;2010
103;81;2010-01-04 14:19:24;1;2010
135;97;2010-01-04 14:21:39;1;2010
118;163;2010-01-04 14:24:51;1;2010
14;62;2010-01-04 14:30:38;1;2010
108;17;2010-01-04 14:34:05;1;2010
62;14;2010-01-04 14:34:19;1;2010
17;108;2010-01-04 14:34:38;1;2010
135;30;2010-01-04 14:34:50;1;2010
65;90;2010-01-04 14:37:09;1;2010
89;126;2010-01-04 14:44:11;1;2010
89;126;2010-01-04 14:44:44;1;2010
156;39;2010-01-04 14:45:00;1;2010
17;108;2010-01-04 14:46:20;1;2010
156;60;2010-01-04 14:49:14;1;2010
156;60;2010-01-04 14:50:01;1;2010
85;128;2010-01-04 14:50:29;1;2010
156;81;2010-01-04 14:53:32;1;2010
155;36;2010-01-04 14:57:01;1;2010
85;8;2010-01-04 14:59:19;1;2010
36;155;2010-01-04 14:59:36;1;2010
128;85;2010-01-04 15:00:19;1;2010
85;8;2010-01-04 15:11:18;1;2010
128;8;2010-01-04 15:20:04;1;2010
140;39;2010-01-04 16:33:14;1;2010
140;60;2010-01-04 16:35:04;1;2010
140;56;2010-01-04 16:35:07;1;2010
130;86;2010-01-04 19:30:23;1;2010
17;129;2010-01-04 22:49:24;1;2010
17;32;2010-01-04 22:49:24;1;2010
17;97;2010-01-04 22:49:24;1;2010
17;37;2010-01-04 22:49:24;1;2010
17;136;2010-01-04 22:49:24;1;2010
17;19;2010-01-04 22:49:24;1;2010
17;148;2010-01-04 22:49:24;1;2010
17;105;2010-01-04 22:49:24;1;2010
17;158;2010-01-04 22:49:24;1;2010
17;41;2010-01-04 22:49:24;1;2010
17;133;2010-01-04 22:49:24;1;2010
17;11;2010-01-04 22:49:24;1;2010
17;90;2010-01-04 22:49:24;1;2010
17;62;2010-01-04 22:49:24;1;2010
17;146;2010-01-04 22:49:24;1;2010
17;161;2010-01-04 22:49:24;1;2010
39;156;2010-01-05 05:54:03;1;2010
74;90;2010-01-05 06:14:59;1;2010
74;127;2010-01-05 06:14:59;1;2010
74;41;2010-01-05 06:14:59;1;2010
65;47;2010-01-05 06:30:23;1;2010
126;89;2010-01-05 06:40:58;1;2010
161;81;2010-01-05 06:48:02;1;2010
47;65;2010-01-05 06:49:25;1;2010
145;72;2010-01-05 06:51:36;1;2010
145;47;2010-01-05 06:52:14;1;2010
145;60;2010-01-05 06:52:31;1;2010
127;74;2010-01-05 06:53:42;1;2010
143;137;2010-01-05 07:01:43;1;2010
90;74;2010-01-05 07:05:23;1;2010
65;47;2010-01-05 07:15:45;1;2010
161;148;2010-01-05 07:32:50;1;2010
136;133;2010-01-05 07:41:41;1;2010
136;69;2010-01-05 07:41:41;1;2010
136;86;2010-01-05 07:41:41;1;2010
136;19;2010-01-05 07:41:41;1;2010
136;73;2010-01-05 07:41:41;1;2010
136;62;2010-01-05 07:41:41;1;2010
136;36;2010-01-05 07:41:41;1;2010
136;85;2010-01-05 07:41:41;1;2010
136;155;2010-01-05 07:41:41;1;2010
136;161;2010-01-05 07:41:41;1;2010
69;136;2010-01-05 07:44:40;1;2010
73;136;2010-01-05 07:48:12;1;2010
35;90;2010-01-05 07:48:38;1;2010
35;105;2010-01-05 07:48:38;1;2010
133;136;2010-01-05 07:48:57;1;2010
119;126;2010-01-05 07:50:37;1;2010
117;97;2010-01-05 07:51:12;1;2010
97;117;2010-01-05 07:52:41;1;2010
160;14;2010-01-05 07:53:17;1;2010
97;117;2010-01-05 07:54:32;1;2010
161;136;2010-01-05 07:57:32;1;2010
90;69;2010-01-05 07:59:20;1;2010
